[04-06 10:45:19.026]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:45:49.041]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 214
[04-06 10:45:49.041]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:46:39.967]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 160
[04-06 10:46:39.967]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:47:10.005]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 172
[04-06 10:47:10.005]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:47:40.036]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 182
[04-06 10:47:40.036]...starena13(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:47:40.036]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:48:10.086]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 193
[04-06 10:48:10.086]...starena13(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:48:10.086]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:48:40.103]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 176
[04-06 10:48:40.103]...starena13(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:48:40.103]...starena33(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:48:40.103]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:50:48.602]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 160
[04-06 10:50:48.602]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:51:18.606]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 169
[04-06 10:51:18.606]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:51:48.637]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 172
[04-06 10:51:48.637]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:52:18.653]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 158
[04-06 10:52:18.653]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:52:48.704]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 164
[04-06 10:52:48.704]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:53:18.743]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 194
[04-06 10:53:18.743]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:53:48.740]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 199
[04-06 10:53:48.740]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:54:18.745]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 206
[04-06 10:54:18.745]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:54:48.786]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 213
[04-06 10:54:48.786]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:55:18.793]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 221
[04-06 10:55:18.793]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:56:39.727]...Hellchapter(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 0
[04-06 10:57:09.774]...garner(1)expend = 0 ms, WeatherRun = 0, CharacterRun = 0, StateRun = 0, ActiveMgrUnitNum = 159
